Webservice Family;Webservice;Backend;Description;Uri-Webservice (targetNamespace webservice)
S252-EmployeeSelfServices;S257-PTS_GetSessions;OFO-IFA;Webservice to consult, register and follow up courses of OFO-IFA;
S252-EmployeeSelfServices;S258-PTS_KeepMeInformed;OFO-IFA;Webservice to consult, register and follow up courses of OFO-IFA;
S252-EmployeeSelfServices;S259-PTS_SetPDetails;OFO-IFA;Webservice to consult, register and follow up courses of OFO-IFA;
S260-JudicialServices;S262-ePVSocSecDocumentService;KSZ;Webservice voor het opvragen van de ePV 's van de sociale zekerheid;
S260-JudicialServices;S261-CriminalRecordService;FOD Justitie;Webservice voor het consulteren van het Strafregister;
S263-SocialSecurityServices;S264-ARZAService;KSZ / RSVZ;Webservice voor het opvragen van de sociale bijdragen van een betrokken zelfstandige;
S267-VDIServices;S268-LEDService;VDI;Webservice voor consulteren van de Vlaamse Leer en Ervaringen Database;
S269-MobilityServices;S270-CarPassService;Car-Pass vzw;Ophalen gegevens kilometerstand bij Car-Pass vzw;
S269-MobilityServices;S271-CarPassEUService;FOD Mobiliteit;Ophalen gegevens kilometerstand bij Europese partnerlanden (via FOD Mobiliteit);
S269-MobilityServices;VehicleRegistrationService;FOD Mobiliteit;Consultation titular of vehicle;
